Potential_E_V,k1_mA_per_mV_per_s,k2_mA_per_sqrt_mV_per_s,local_fit_R2
0.09290101471488953,0.0010178743305365094,0.00788322637483529,0.7984946405609779
0.09355578753026003,0.0010387419074238556,0.007881486291390035,0.8093143805718899
0.09421056034563055,0.001057327744328171,0.007883112530351894,0.8224978958039126
0.09486533316100106,0.001076925188690855,0.007894095964458633,0.8314231217943054
0.09552010597637156,0.0010970854838147671,0.007905745087445157,0.838113275637751
0.09617487879174208,0.0011326194719880399,0.007854411410058965,0.8482673598018978
0.09682965160711259,0.0011515439220181078,0.007870106523389419,0.857880270777895
0.09748442442248309,0.0011642492774723155,0.007912855935019754,0.8668833677808315
0.0981391972378536,0.0011811445591800825,0.007914190956819086,0.8693179499815352
0.09879397005322411,0.0012006918534257685,0.00790888899428303,0.8733537510253753
0.09944874286859462,0.0012254805135505724,0.007888383607259724,0.8809882577362145
0.10010351568396512,0.0012490353954466367,0.007895776705808082,0.8870747789827379
0.10075828849933563,0.0012748643734890883,0.007895332149164627,0.89315755265352
0.10141306131470615,0.001304119087439752,0.007880949849608724,0.9014033634031142
0.10206783413007665,0.0013158354619597493,0.007916507508688553,0.9051507864317494
0.10272260694544716,0.0013250172323852943,0.007964489084188115,0.9073502505907874
0.10337737976081766,0.0013374570119270193,0.008006332579281138,0.9109832618995506
0.10403215257618818,0.0013697511467129005,0.0079577818465472,0.9196702653919128
0.10468692539155869,0.0014004998188401423,0.00792866081417169,0.925445526342755
0.1053416982069292,0.0014181014421287648,0.007968528056309767,0.9237312084596893
0.1059964710222997,0.0014376885446939118,0.007977156995961777,0.9266871111178634
0.10665124383767022,0.0014539901206552317,0.007993832258518003,0.9316655495993472
0.10730601665304072,0.0014590639736199412,0.008053851503086105,0.9365510998407953
0.10796078946841123,0.0014779218273851071,0.008037541981710049,0.9396524603987029
0.10861556228378175,0.0014996764115948731,0.008019597446200103,0.941762866873091
0.10927033509915225,0.001516660465508961,0.008067068790559696,0.9430687422375051
0.10992510791452276,0.0015394531514573043,0.008080469386509612,0.9459685513386531
0.11057988072989326,0.0015591628971858204,0.008095638149876138,0.9493467003504531
0.11123465354526378,0.001561727456742955,0.008165176503489429,0.9501171343936619
0.11188942636063429,0.001571434317882405,0.008214403546375454,0.9518131747647767
0.11254419917600479,0.0015869922171087133,0.008240801027088351,0.9542431332021829
0.1131989719913753,0.0016210834851187268,0.008171795012068276,0.9573188336463802
0.11385374480674582,0.0016407852455346341,0.008190364260118214,0.9576084985666448
0.11450851762211632,0.0016508354601090136,0.008262358237274017,0.9573171132687189
0.11516329043748683,0.0016742940359700713,0.008244868683099526,0.9596600521390414
0.11581806325285733,0.001685744453462401,0.008272669535740676,0.9621578997016801
0.11647283606822785,0.0016916700190092698,0.008324888617261647,0.9647786787540938
0.11712760888359836,0.0017034097809465337,0.008367218000278983,0.9667574244860616
0.11778238169896886,0.0017219610504931352,0.008389001183368378,0.9677633635104083
0.11843715451433938,0.0017458362409079361,0.00839272600506752,0.9681612322511807
0.11909192732970988,0.001772810521188521,0.00839543563313998,0.9684709690840714
0.11974670014508039,0.0017910537336142882,0.00842580655482733,0.9688621812768389
0.1204014729604509,0.0018020007554511695,0.008481243166720534,0.9699301553196593
0.12105624577582141,0.0018110361954172226,0.00853290572962977,0.9720998384600777
0.12171101859119192,0.0018194872856235147,0.008586220911440323,0.9734688826875039
0.12236579140656242,0.0018272583666864922,0.008642527416144265,0.9748237502227692
0.12302056422193293,0.0018446068958774882,0.008663773891049463,0.97540039651401
0.12367533703730345,0.001864823480333663,0.008674224261546364,0.9756942403159335
0.12433010985267395,0.0018865677860327187,0.008681042571797557,0.9760873365435424
0.12498488266804446,0.0018989635730130882,0.008706732276628196,0.9774917432974108
0.12563965548341496,0.0019100893023243969,0.00874378040875298,0.9783448354398142
0.12629442829878548,0.0019199812891087025,0.008810244811452036,0.9771952317293924
0.126949201114156,0.0019321099583180146,0.008851006118278567,0.9787151882108158
0.1276039739295265,0.0019439004117462598,0.008889488337567773,0.9802363183025647
