Potential_V,Scan_rate_mV_s,Current_capacitive_mA,Current_diffusion_mA,Current_total_reconstructed_mA
0.1217110185911919,5.0,0.0090974364281175,0.019199373627810715,0.028296810055928216
0.1223657914065624,5.0,0.009136291833432,0.019325278799904044,0.028461570633336042
0.1230205642219329,5.0,0.009223034479387,0.019372787362074317,0.028595821841461318
0.1236753370373034,5.0,0.009324117401668,0.019396155100895443,0.028720272502563444
0.1243301098526739,5.0,0.0094328389301635,0.01941140130610881,0.02884424023627231
0.1249848826680444,5.0,0.009494817865065,0.019468845232431937,0.028963663097496935
0.1256396554834149,5.0,0.0095504465116215,0.019551687374302382,0.02910213388592388
0.1262944282987854,5.0,0.0095999064455435,0.01970030629682149,0.029300212742364988
0.126949201114156,5.0,0.00966054979159,0.01979145134973727,0.029452001141327268
0.1276039739295265,5.0,0.009719502058731,0.019877500207992976,0.029597002266723977
0.128258746744897,5.0,0.0097778469452355,0.019984733147011272,0.029762580092246773
0.1289135195602675,5.0,0.009840129826301999,0.020080037276644567,0.029920167102946565
0.129568292375638,5.0,0.009903908169550498,0.02017324811388152,0.030077156283432018
0.1302230651910085,5.0,0.0099914204651755,0.02024113378471105,0.03023255424988655
0.130877838006379,5.0,0.0101050192061155,0.020258349882377968,0.030363369088493467
0.1315326108217495,5.0,0.010193977142908501,0.020308187724330386,0.030502164867238887
0.13218738363712,5.0,0.010221388771711502,0.020466214443014313,0.030687603214725814
0.1328421564524905,5.0,0.010248309133739999,0.02057984768030686,0.03082815681404686
0.133496929267861,5.0,0.0102990523372505,0.02062022327875868,0.030919275616009177
0.1341517020832315,5.0,0.010324991400046,0.02082298348812,0.031147974888166
0.1348064748986021,5.0,0.010380982900451498,0.020964918503687983,0.03134590140413948
0.1354612477139726,5.0,0.0104832838730105,0.021008009500426927,0.03149129337343742
0.1361160205293431,5.0,0.0105967348706115,0.021034755220267636,0.031631490090879136
0.1367707933447136,5.0,0.010667927917531999,0.021134739280337662,0.03180266719786966
0.1374255661600841,5.0,0.010709761008409,0.021293912772806782,0.03200367378121578
0.1380803389754546,5.0,0.010731611568282,0.02142615149888193,0.03215776306716393
0.1387351117908251,5.0,0.010775214650811,0.021534503480527586,0.03230971813133859
0.1393898846061956,5.0,0.010806018695117001,0.02169844863581683,0.03250446733093383
0.1400446574215661,5.0,0.0108987937415975,0.02174425392675459,0.03264304766835209
0.1406994302369366,5.0,0.0109991135564245,0.021788158432953134,0.032787271989377635
0.1413542030523071,5.0,0.01103965795914,0.02197146487998289,0.03301112283912289
0.1420089758676777,5.0,0.011036865104943498,0.02216952969141774,0.03320639479636124
0.1426637486830482,5.0,0.011090718344891,0.022266979206771984,0.033357697551662985
0.1433185214984187,5.0,0.0111569274707255,0.022354352282252878,0.03351127975297838
0.1439732943137892,5.0,0.011212395966010999,0.022433302853547853,0.03364569881955885
0.1446280671291597,5.0,0.01125668938198,0.022532738984885017,0.03378942836686502
0.1452828399445302,5.0,0.0113090206923065,0.02266089371306547,0.03396991440537197
0.1459376127599007,5.0,0.011403926207902499,0.02271646733002878,0.03412039353793128
0.1465923855752712,5.0,0.0114732370621035,0.02284695623370055,0.03432019329580405
0.1472471583906417,5.0,0.0115541874122955,0.02289626971241567,0.03445045712471117
0.1479019312060122,5.0,0.011604953680675,0.023024214929673954,0.034629168610348954
0.1485567040213827,5.0,0.0115986503794585,0.0232617583541719,0.0348604087336304
0.1492114768367533,5.0,0.011635631059050001,0.023346261727882962,0.034981892786932964
0.1498662496521238,5.0,0.011663657970004002,0.023481387574258994,0.035145045544262996
0.1505210224674943,5.0,0.011703834694556,0.023633643389141767,0.03533747808369776
0.1511757952828648,5.0,0.01178555989743,0.0237702671213257,0.035555827018755704
0.1518305680982353,5.0,0.011865048405415999,0.02387585852316984,0.035740906928585836
0.1524853409136058,5.0,0.0119471095085615,0.02394052125272007,0.03588763076128157
0.1531401137289763,5.0,0.011970929534897999,0.024068586879723814,0.03603951641462182
0.1537948865443468,5.0,0.011967377863765501,0.024272928634584683,0.03624030649835018
0.1544496593597173,5.0,0.0119376614115585,0.02457075258207425,0.03650841399363275
0.1551044321750878,5.0,0.011981791474705501,0.024738860731013133,0.036720652205718636
0.1557592049904583,5.0,0.0120529997158315,0.02484911045439795,0.03690211017022945
0.1564139778058288,5.0,0.012163249276927501,0.024870066582710466,0.03703331585963797
0.1570687506211994,5.0,0.0122355000753445,0.024950777442421582,0.037186277517766084
0.1577235234365699,5.0,0.0123036054221445,0.02503742316665696,0.03734102858880146
0.1583782962519404,5.0,0.012337632615877501,0.025156861342108636,0.03749449395798614
0.1590330690673109,5.0,0.0123127094595135,0.025374378660118723,0.03768708811963222
0.1596878418826814,5.0,0.012300484117758501,0.02559954362553604,0.03790002774329454
0.1603426146980519,5.0,0.012324210603920499,0.025816837497671483,0.03814104810159198
0.1609973875134224,5.0,0.012387419364267,0.025913525054809275,0.03830094441907628
0.1616521603287929,5.0,0.012443128575023001,0.0260099935686765,0.0384531221436995
0.1623069331441634,5.0,0.012507098583139501,0.02615653485282225,0.03866363343596175
0.1629617059595339,5.0,0.012585409773022999,0.02623851979261307,0.03882392956563607
0.1636164787749044,5.0,0.0126623334356775,0.026300704303840662,0.03896303773951816
0.164271251590275,5.0,0.012678004699055001,0.0264692215448229,0.0391472262438779
0.1649260244056455,5.0,0.0126684538586295,0.026700476733287782,0.03936893059191728
0.165580797221016,5.0,0.012640860188116498,0.026974573299066072,0.03961543348718257
0.1662355700363865,5.0,0.012721585193577,0.027026860126453684,0.03974844532003068
0.166890342851757,5.0,0.0127818591549285,0.027108817686906928,0.03989067684183543
0.1675451156671275,5.0,0.012826686902904502,0.027226581389908897,0.0400532682928134
0.168199888482498,5.0,0.012893809687633,0.02741028319649319,0.04030409288412619
0.1688546612978685,5.0,0.012937301981961,0.02759788467118228,0.040535186653143276
0.169509434113239,5.0,0.012974481066209,0.027767663690654882,0.040742144756863885
0.1701642069286095,5.0,0.012950217047566999,0.028002315839314815,0.04095253288688182
0.17081897974398,5.0,0.012955018980742,0.0282184152457507,0.0411734342264927
0.1714737525593506,5.0,0.0129865737496975,0.028424431157195885,0.04141100490689338
0.1721285253747211,5.0,0.013090020029372498,0.02846479269429522,0.04155481272366772
0.1727832981900916,5.0,0.013181616299356502,0.028524888230019384,0.04170650452937588
0.1734380710054621,5.0,0.013247065847472001,0.028650081479537234,0.041897147327009235
0.1740928438208326,5.0,0.0132370201833405,0.02889632688103825,0.04213334706437875
0.1747476166362031,5.0,0.013219852692228501,0.029134109017703656,0.04235396170993216
0.1754023894515736,5.0,0.013209320653219999,0.029312666616425426,0.04252198726964543
0.1760571622669441,5.0,0.013268840424273,0.02945130439594326,0.04272014482021626
0.1767119350823146,5.0,0.013330877681164002,0.029588897884432152,0.042919775565596154
0.1773667078976851,5.0,0.013387579282348499,0.029715084101874203,0.0431026633842227
0.1780214807130556,5.0,0.0134001646003765,0.02991000378005337,0.04331016838042987
