J_A_g^-1,time_abs_s,time_rel_s,V_exp_V,V_fit_V,Residual_mV
2,1.024464130052408,0.4079997800291011,0.252345502376556,0.2541491403721292,-1.803637995573204
2,1.0254641600186003,0.4089998099952934,0.252275764942169,0.25412437398235743,-1.8486090401884092
2,1.0264641599496969,0.40999980992638996,0.252241224050522,0.2540996083364243,-1.8583842859022925
2,1.0274641599972083,0.4109998099739014,0.252195209264755,0.25407484268760805,-1.879633422853022
2,1.028464160044706,0.41199981002139907,0.252142578363419,0.2540500770387921,-1.9074986753730983
2,1.0294641599758023,0.4129998099524954,0.252091258764267,0.25402531139285894,-1.9340526285919202
2,1.0304641600232998,0.41399980999999286,0.252067685127258,0.254000545744043,-1.9328606167849927
2,1.0314641599542966,0.4149998099309897,0.252012640237808,0.25397578009811234,-1.9631398603043304
2,1.0324641600018083,0.4159998099785014,0.251965343952179,0.2539510144492961,-1.9856704971170647
2,1.0334641600493055,0.4169998100259986,0.251928716897964,0.25392624880048015,-1.9975319025161697
2,1.034464159980402,0.4179998099570952,0.251877397298813,0.25390148315454697,-2.0240858557339925
2,1.035464499960696,0.419000149937389,0.251836389303207,0.2538767090870752,-2.0403197838682052
2,1.0364645000081083,0.4200001499848014,0.251780867576599,0.2538519434382614,-2.071075861662386
2,1.0374644999392046,0.42100014991589774,0.25173631310463,0.2538271777923282,-2.0908646876982018
2,1.038464499986702,0.4220001499633952,0.251697897911072,0.2538024121435123,-2.104514232440291
2,1.0394645000341995,0.42300015001089264,0.251645267009735,0.2537776464946964,-2.132379484961422
2,1.040464499965296,0.4240001499419892,0.251600056886673,0.25375288084876324,-2.1528239620902667
2,1.0414645000128075,0.42500014998950064,0.251574724912643,0.253728115199947,-2.153390287303991
2,1.042464499943904,0.4260001499205972,0.251526296138763,0.2537033495540138,-2.177053415250818
2,1.0434644999914011,0.4270001499680942,0.251473844051361,0.2536785839051979,-2.204739853836901
2,1.0444645000388988,0.4280001500155919,0.251425892114639,0.25365381825638195,-2.227926141742942
2,1.045464150025495,0.4289998000021882,0.2513807117939,0.253629061277051,-2.248349483151002
2,1.0464641499566056,0.42999979993329873,0.251339048147202,0.25360429563111747,-2.265247483915489
2,1.047464150004103,0.4309997999807962,0.251294195652008,0.25357952998230154,-2.2853343302935425
2,1.0484641500516003,0.4319998000282934,0.251254320144653,0.2535547643334856,-2.300444188832629
2,1.0494641499826969,0.43299979995939,0.251213490962982,0.2535299986875525,-2.3165077245704824
2,1.0504641500302083,0.4339998000069014,0.251165688037872,0.25350523303873623,-2.3395450008642515
2,1.0514641499612054,0.4349997999378985,0.251121789216995,0.2534804673928055,-2.3586781758104802
2,1.0524641500087029,0.43599979998539595,0.251086115837097,0.25345570174398957,-2.3695859068925684
2,1.0534641499397992,0.4369997999164923,0.25103834271431,0.25343093609805645,-2.392593383746422
2,1.0544641499872969,0.43799979996398997,0.250987976789474,0.2534061704492405,-2.418193659766532
2,1.0554643200012066,0.4389999699778997,0.250949054956436,0.2533814005910963,-2.4323456346603267
2,1.056464320048704,0.43999997002539715,0.250913560390472,0.2533566349422804,-2.4430745518083663
