J_A_g^-1,bootstrap_id,V0,Rs,Csp_F_g^-1,A,tau_s,effective_IR_drop_mV
2,36,0.2555870890893416,0.00972744266639745,231.22378192629571,0.13121260920514816,7.9546249604211825,19.454885332794902
2,37,0.2555815500332303,0.009727512067689459,197.76350050130233,0.10953764160958697,7.303999475196393,19.455024135378917
2,38,0.2556006085623985,0.00971968846392975,174.7392864963381,0.08573305799058593,6.213177891949998,19.4393769278595
2,39,0.25555038511612543,0.009733017402140307,270.53774785975696,0.15864368807977858,8.9999999704143,19.466034804280614
2,40,0.2555374939031614,0.009733186019508655,254.5646591470986,0.15393683305329353,8.999996559222414,19.46637203901731
2,41,0.2556001664629662,0.009707146112408974,301.0938863839902,0.1669255887776636,8.99988364022315,19.41429222481795
2,42,0.25558550528025065,0.009732558241120572,278.0700044650208,0.1609190207606582,8.999999997912875,19.465116482241143
2,43,0.25558777121890747,0.009712044312362781,111.96028680744554,0.021488093325831962,2.8728747640870225,19.424088624725563
2,44,0.25556364673180315,0.009732844018311721,270.07013446408564,0.1586592061620667,8.999999872657803,19.465688036623444
2,45,0.25559915765028524,0.009732379693688077,287.48055121080387,0.1632879355879283,8.999999776923364,19.464759387376155
2,46,0.2555771263938719,0.009732445083953881,269.94173980140954,0.15876818998560477,8.998005004850674,19.46489016790776
2,47,0.2555970279548516,0.00973240554167567,197.78791612728372,0.11004930661302384,7.340614600364181,19.464811083351343
2,48,0.25558436920441824,0.00972902539550558,123.17036677534804,0.03431987923163224,3.820050458127003,19.45805079101116
2,49,0.25556141559489215,0.009732873189484098,264.65715153889306,0.15711630079164704,8.9999999830374,19.465746378968195
2,50,0.25552537257325203,0.009745704899477896,242.35510275030686,0.1499207243571295,8.999999958510049,19.491409798955793
2,51,0.25557991764124105,0.009724898613740962,130.43186851388415,0.04214481690700531,4.267407681998757,19.449797227481923
2,52,0.25555052055495303,0.00974494274709774,260.4135846682243,0.155785522544447,8.999999966288431,19.48988549419548
2,53,0.2555591265466677,0.00974752885682427,263.0908215694882,0.1565355226054429,8.999999982776417,19.49505771364854
2,54,0.25559770695202716,0.00973381015073108,243.106014768749,0.13833101240753715,8.180743018713578,19.46762030146216
2,55,0.25557923427577295,0.009741865940900256,286.1476279226657,0.16290888293316133,8.999902923145594,19.483731881800512
2,56,0.2555534063577456,0.009737732342285412,262.2644585651617,0.1564329657417386,8.999999592695215,19.475464684570824
2,57,0.2555788677696742,0.009726046644972843,108.73105472787559,0.01786686870399008,2.5764393369302647,19.452093289945687
2,58,0.25554897009153,0.009752108225819902,255.10415701226566,0.15404987600459605,8.999999968073558,19.504216451639802
2,59,0.2555751292596262,0.009730809581847685,276.13354543811755,0.16047234952229322,8.999999025621356,19.46161916369537
2,60,0.255585448786415,0.00972371074839746,291.34355682783314,0.16437182203875536,8.999992029996285,19.44742149679492
2,61,0.25561597080432646,0.009729618783921996,122.65618343301522,0.03249685503763432,3.5990978324114673,19.459237567843992
2,62,0.25558889184404177,0.009712321409956223,130.90427292101603,0.04300348976747221,4.317559649846389,19.424642819912446
2,63,0.25557989780111556,0.009744608783377878,284.0000504493329,0.16127593031188825,8.934400090125042,19.489217566755755
2,64,0.25558972638984223,0.009731016122404897,158.3567972525194,0.07350428845594098,5.878568911460454,19.462032244809794
2,65,0.25555323641902106,0.009732980124553346,268.843302744824,0.15821952807208853,8.999999939088125,19.46596024910669
2,66,0.25554824447867536,0.009733045390825014,261.2281041640272,0.15606620085388892,8.999999960671966,19.466090781650028
2,67,0.2555936238207916,0.00973245209494142,274.26028862166766,0.15998927084468015,8.9999999751376,19.46490418988284
2,68,0.25558181850320455,0.009720823464922418,292.74136282110106,0.1646731749167682,8.999985556411708,19.441646929844836
2,69,0.25564368376824387,0.009731797673678872,313.36741549059326,0.16939045716261278,8.999998767770196,19.463595347357742
2,70,0.25560576490389403,0.009717878364801466,116.44336113872214,0.026323390827367423,3.238280439967323,19.435756729602932
2,71,0.25559410126623966,0.009732445852822479,277.1036676824455,0.16073868300466956,8.999999961976984,19.464891705644956
2,72,0.2555851218566256,0.009716169417570754,108.52121137507753,0.017583739344905706,2.532797419254782,19.432338835141508
2,73,0.25557324780595797,0.009733917110097155,276.0344470553465,0.16033746448793104,8.999999951990608,19.46783422019431
2,74,0.25556889318676956,0.009719186640365578,120.22141841464989,0.030279177395216513,3.50838350774532,19.438373280731156
2,75,0.2555622053171316,0.009732862863983918,268.9132316862673,0.15831910054951756,8.999999871543219,19.465725727967836
2,76,0.2555762139319597,0.009732408907738762,275.977966177269,0.16035473829417046,8.999840174101314,19.464817815477524
2,77,0.25556505250177103,0.009732709243116346,262.6902342389358,0.15671452118620277,8.998418081342004,19.465418486232693
2,78,0.2555812537511476,0.009734512760056241,191.8903120011725,0.10434980208198795,7.105349554178541,19.46902552011248
2,79,0.2555717881463226,0.009732733957962878,267.65187354712657,0.1580906301435338,8.999999855334316,19.465467915925757
2,80,0.2555615410815353,0.009732871607359262,259.66935859571333,0.15562069727749256,8.99999998365392,19.465743214718525
3,1,0.2775740850958289,0.00963058976085551,81.95620281415975,0.00023444610266616883,0.10206967514385279,28.891769282566532
3,2,0.2774043794964418,0.009627870156545353,81.9319427589652,6.234235857518285e-11,0.0007539054068299578,28.88361046963606
3,3,0.27758980642339437,0.009641534776870136,82.13190751918332,0.00032420221275150044,0.31339750768666397,28.924604330610407
3,4,0.27746397576918935,0.00962540846503196,81.78089146794156,2.7818362253500508e-08,0.00010055648098727943,28.87622539509588
3,5,0.2774770572902791,0.009626901805525582,81.78074877075034,6.794080769346262e-10,8.999999999999993,28.880705416576745
3,6,0.27749550837454606,0.00962589063905303,84.1485206557057,0.010227808364303998,8.999924728522505,28.87767191715909
3,7,0.2774920521276079,0.00962670208843449,81.75736937486927,1.2398655672932918e-12,0.0032789124906216216,28.880106265303468
3,8,0.2774845171938987,0.009609981641399633,81.95378861241207,0.00014642847232028443,0.2771426192889806,28.8299449241989
3,9,0.27747317034447605,0.009626081448070754,81.75401116929439,2.010595473619588e-09,8.999998607265804,28.87824434421226
3,10,0.27747548516990594,0.009626921000345566,82.24598244580373,0.001994435332196418,8.999137581771297,28.880763001036694
3,11,0.2774902389812145,0.009626306075722374,83.4446880823081,0.007257305620065918,8.999880175151358,28.878918227167123
3,12,0.2779056778467793,0.009621190853006143,81.83194995532165,0.000451591582572114,0.00010000000080001873,28.86357255901843
3,13,0.2774594158597328,0.009626303283080142,81.80567487578452,2.0406099798628898e-08,8.99996308547759,28.878909849240426
3,14,0.2774821424330766,0.009622420879817739,82.06771810415232,0.00024623851555717456,0.9718867823438458,28.867262639453216
3,15,0.2774344268304159,0.009634193519241501,81.89071551136595,1.7900455118353695e-12,8.999999999999995,28.9025805577245
3,16,0.27752186140775104,0.009622794605102085,82.01429478432276,0.0003105832050006455,1.108509318067695,28.868383815306256
3,17,0.2774631287786226,0.00962708738056977,81.82315702057676,5.920357691163475e-12,8.999999999999998,28.88126214170931
3,18,0.2774534030522007,0.009614864132542488,82.88285470334507,0.004951369505086556,8.999874352753416,28.844592397627466
3,19,0.2774306766352557,0.009627519842481534,81.87784354544064,4.286455688657509e-07,0.00012102710298167452,28.8825595274446
3,20,0.27743554887358346,0.009634003199975483,81.8595444326953,7.971365068057469e-11,8.999999999998435,28.902009599926448
