Potential_V,b_smooth,chi_loc_clipped,b_tilde,chi_tilde,local_field_h,label_numeric,label_text
0.1601786991165585,0.7377692919648693,0.48866199544046046,0.18447759820547932,0.295241016247791,0.4797186144532703,1,CD
0.1610979000992984,0.7373396812455812,0.4886305638481488,0.18329444555897081,0.29517622249879105,0.47847066805776184,1,CD
0.1620171010820382,0.7369516426843399,0.48872153424421055,0.1822257830930041,0.29536375079676597,0.4775895338897701,1,CD
0.162936302064778,0.7365121349800788,0.4893885661065851,0.18101537404101609,0.29673878438199075,0.47775415842300684,1,CD
0.1638555030475179,0.7360485275892218,0.4898600770271311,0.17973859418705332,0.2977107669635169,0.47744936115057024,1,CD
0.1647747040302577,0.7355534278582176,0.4873272566922438,0.17837508408191913,0.29248955756969225,0.47086464165161135,1,CD
0.1656939050129975,0.7350894159312669,0.48401093164056846,0.17709719013110445,0.2856532149857822,0.4627504051168867,1,CD
0.1666131059957374,0.7346315764169244,0.4851261936251235,0.1758362950725079,0.28795223962251915,0.463788534695027,1,CD
0.1675323069784772,0.7341886351130719,0.48510223280509845,0.17461642984947617,0.28790284628147744,0.4625192761309536,1,CD
0.168451507961217,0.7337192810424076,0.48441696545589935,0.17332382357611253,0.2864902216781303,0.45981404525424285,1,CD
0.1693707089439569,0.7331661482484124,0.483288829287678,0.17180048977715479,0.2841646579269641,0.4559651477041189,1,CD
0.1702899099266967,0.7325657369113331,0.4803145866337038,0.1701469503504934,0.2780334912308727,0.44818044158136605,1,CD
0.1712091109094365,0.7319870622598565,0.47820251380075957,0.16855327399507913,0.2736796196340936,0.44223289362917273,1,CD
0.1721283118921764,0.7314316698147797,0.47929757903789333,0.16702371709218694,0.2759370102686441,0.44296072736083103,1,CD
0.1730475128749162,0.7309254130852872,0.4805216089713828,0.1656294804904923,0.2784602514551699,0.4440897319456622,1,CD
0.173966713857656,0.7303745012010594,0.4787963453240934,0.1641122631014631,0.2749037564926275,0.4390160195940906,1,CD
0.1748859148403959,0.7297208621687632,0.4757378953014257,0.16231213401668573,0.26859900294617967,0.4309111369628654,1,CD
0.1758051158231357,0.7290859042032306,0.4743986521914509,0.16056345279526152,0.26583825888150975,0.42640171167677127,1,CD
0.1767243168058755,0.7284705209963891,0.47437893421419974,0.158868680674589,0.26579761182627537,0.4246662925008644,1,CD
0.1776435177886154,0.727874547475181,0.4738073563270253,0.15722736304165164,0.2646193490838648,0.42184671212551644,1,CD
0.1785627187713552,0.7272793966312889,0.47203091456388707,0.1555883110710919,0.2609573544711705,0.4165456655422624,1,CD
0.179481919754095,0.726628714625887,0.4697111735559745,0.15379632567090765,0.25617539130745004,0.40997171697835766,1,CD
0.1804011207368348,0.7259288011681468,0.46931754369889883,0.15186875630945293,0.25536395439692594,0.4072327107063789,1,CD
0.1813203217195747,0.7252852288155542,0.46843857843783243,0.15009635097130977,0.2535520368223896,0.4036483877936994,1,CD
0.1822395227023145,0.7246017124867522,0.466866695822098,0.14821393948331404,0.25031172476147606,0.3985256642447901,1,CD
0.1831587236850543,0.7239325800634197,0.46465095362993897,0.14637114142919994,0.24574414695556385,0.3921152883847638,1,CD
0.1840779246677942,0.723242147158255,0.4635638670177579,0.1444696816138212,0.24350320362719577,0.387972885241017,1,CD
0.184997125650534,0.7224871898225181,0.46412373892596026,0.14239052080689737,0.24465733541703497,0.38704785622393234,1,CD
0.1859163266332738,0.721684118569624,0.46261321685666945,0.14017885374288366,0.24154351328400492,0.38172236702688855,1,CD
0.1868355276160137,0.7208763287871357,0.4605334651684429,0.13795419179646518,0.23725626917836473,0.3752104609748299,1,CD
0.1877547285987535,0.720128165498525,0.45866265335706435,0.13589374187005918,0.2333997381528104,0.36929348002286955,1,CD
0.1886739295814933,0.7193673461474688,0.45802124873913813,0.13379843700846536,0.23207753311116935,0.3658759701196347,1,CD
0.1895931305642332,0.718594575227058,0.45593749138821343,0.1316702173934055,0.22778203164774505,0.3594522490411506,1,CD
0.190512331546973,0.7178193424284504,0.45392575970499105,0.12953521773871132,0.22363500541867667,0.353170223157388,1,CD
0.1914315325297128,0.7170225621591902,0.45269237122599587,0.12734087611282463,0.2210924723285626,0.34843334844138724,1,CD
0.1923507335124527,0.7161812469514666,0.4519120893154251,0.12502388477653828,0.21948398269935845,0.34450786747589673,1,CD
0.1932699344951925,0.7153674456039694,0.4506437282199851,0.12278266691395989,0.21686935631822288,0.3396520232321828,1,CD
0.1941891354779323,0.7145199491320449,0.44799218407277425,0.12044865230807242,0.21140340714730618,0.3318520594553786,1,CD
0.1951083364606722,0.7136471447519962,0.4451072391304811,0.11804493944483162,0.20545632064223907,0.3235012600870707,1,CD
0.196027537443412,0.712720603095117,0.4438677662401693,0.11549323353010549,0.20290124501798446,0.31839447854808994,1,CD
0.1969467384261518,0.7118078316560495,0.4425334849320279,0.11297945094670132,0.20015072931652916,0.3131301802632305,1,CD
0.1978659394088917,0.7108875453662774,0.4412284028164879,0.11044497238179526,0.19746040544810795,0.30790537782990324,1,CD
0.1987851403916315,0.709978897780573,0.4389177551159178,0.10794254693591399,0.19269718742041755,0.3006397343563315,1,CD
0.1997043413743713,0.7090476807016619,0.43709740982514944,0.10537796485748388,0.18894468914754375,0.29432265400502766,1,CD
0.2006235423571112,0.7080895815107727,0.43670633743314213,0.1027393491469709,0.18813852424958827,0.2908778733965592,1,CD
0.201542743339851,0.7071427193318387,0.4349150410514178,0.10013168029098618,0.18444590801204558,0.28457758830303176,1,CD
0.2024619443225908,0.706159846313536,0.4329528835869019,0.09742483718727173,0.18040107512564607,0.2778259123129178,1,CD
0.2033811453053307,0.7052058520314748,0.42963193065513994,0.09479752644082373,0.1735551925318707,0.2683527189726944,1,CD
0.2043003462880705,0.7041932623922724,0.4268852887257493,0.09200884343627763,0.16789320678196354,0.2599020502182412,1,CD
0.2052195472708103,0.7031254590377829,0.4259586033907759,0.08906810125249637,0.16598291803805307,0.2550510192905494,1,CD
0.2061387482535501,0.7020750092187138,0.4253036777615624,0.08617515089614664,0.16463284049784802,0.2508079913939947,1,CD
0.20705794923629,0.701033179863212,0.42207168976802506,0.08330594139128382,0.15797035210885746,0.2412762935001413,1,CD
0.2079771502190298,0.6999925369992368,0.41892240160096134,0.08043999949713625,0.1514783428908149,0.23191834238795117,1,CD
0.2088963512017696,0.6988468928031322,0.4172868315573335,0.07728488277932102,0.14810674421939635,0.22539162699871737,1,CD
0.2098155521845095,0.6976964370236636,0.41712131461568097,0.07411651490799548,0.14776554409608333,0.2218820590040788,1,CD
0.2107347531672493,0.6965815570748094,0.4143839277813988,0.07104612326550552,0.1421226369949281,0.21316876026043363,1,CD
0.2116539541499891,0.6954047983075953,0.4107896664627728,0.0678053166766038,0.13471335071347312,0.20251866739007693,1,CD
0.212573155132729,0.694195293200928,0.4074166764725224,0.06447432630864815,0.12776019782702658,0.1922345241356747,1,CD
0.2134923561154688,0.6929329950918311,0.4066444357767424,0.06099794343129429,0.1261682845280205,0.1871662279593148,1,CD
0.2144115570982086,0.6916427522128343,0.40511717464677316,0.05744460035025179,0.12301995614136707,0.18046455649161885,1,CD
0.2153307580809485,0.6903966371734377,0.4017063886942984,0.05401278582486119,0.11598888985921062,0.17000167568407182,1,CD
