Frequency_Hz,Zprime_data_Ohm,minus_Zdoubleprime_data_Ohm,Zmag_data_Ohm,Phase_data_deg,Zprime_fit_Ohm,minus_Zdoubleprime_fit_Ohm,Zmag_fit_Ohm,Phase_fit_deg
12589.24609375,1.05735296983416,0.0499826314568726,1.0585336868822226,-2.7064411143042837,1.3343558431510072,0.01505261209535859,1.3344407432636822,-0.6463152739374266
11220.1787109375,1.06149843115618,0.0566665268936861,1.063009884534111,-3.0557500594926714,1.3348937732033024,0.01982378636774674,1.3350409612603291,-0.8508061317528407
9999.9833984375,1.06199003983115,0.0615565379284423,1.0637725565468885,-3.3173455151730766,1.3354899486556076,0.02477085142707839,1.3357196554818604,-1.0626081600339161
8912.5009765625,1.06389529709507,0.0691411288607644,1.0661396244775576,-3.718346925048912,1.336150681319054,0.02994989225852671,1.3364863034223993,-1.2840730770912536
7943.2734375,1.06705808452409,0.0762111360953193,1.0697761882810626,-4.085226874757633,1.3368830070496547,0.03541930951037635,1.3373521234231165,-1.517636405733023
7079.44873046875,1.0701414759879,0.0850782515871063,1.073518089052383,-4.545561055715813,1.3376947109737494,0.04124006490951107,1.3383302592114115,-1.76582405615379
6309.57080078125,1.07145509889134,0.0943490194916143,1.0756011186398424,-5.032308908123343,1.338594429489184,0.04747651110571352,1.339436099919009,-2.0312828858739294
5623.4072265625,1.07771572788159,0.105289096160526,1.0828467037829714,-5.5798916556054765,1.3395917779346838,0.05419732605565717,1.3406876898300328,-2.316814314796422
5011.86572265625,1.07989445710909,0.114944746981685,1.0859946286025635,-6.075727876905001,1.340697392098886,0.06147582653665483,1.342106096562086,-2.6253798359942206
4466.83251953125,1.08386736217626,0.126090972562997,1.0911770672777203,-6.635637970620034,1.3419230920199452,0.06939109109248692,1.3437160073540007,-2.960138811929285
3981.06640625,1.08722863946215,0.139177635183313,1.0961006014969323,-7.294837650358661,1.3432820314667002,0.07802892407000554,1.3455464053880963,-3.324476643056467
3548.12939453125,1.09128071625426,0.151251069508043,1.1017125249790607,-7.8909006488841795,1.344788777796844,0.08748235160790854,1.347631262152663,-3.7220096852848132
3162.27099609375,1.09749881519487,0.167150243154078,1.1101544276093351,-8.659662283914393,1.3464595588957256,0.09785314945100718,1.3500105861063285,-4.156629213002377
2818.38012695313,1.10179858041312,0.183327061118303,1.1169462489926008,-9.44683715396796,1.3483123423687584,0.10925227761735788,1.352731397117886,-4.632493677612925
