Frequency_Hz,Residual_ReZ_data_minus_fit_Ohm,Residual_ImZ_data_minus_fit_Ohm,Residual_ReZ_over_absZ,Residual_ImZ_over_absZ
9.99996280670166,0.05717646070552718,1.1678174920414008,0.0034785892565850005,0.07104947265605326
11.2201404571533,0.17154753889603747,1.0939945615115931,0.011484177751119783,0.07323700522903676
12.589225769043,0.27083840112181345,1.0103776892250718,0.01993379254999397,0.07436411960317366
14.125316619873,0.35772822186769027,0.9234975761276942,0.028922169694183635,0.07466437361157172
15.8488998413086,0.4270717701905369,0.834070942846667,0.03789436102947583,0.0740076671851331
17.7827587127686,0.4889519479074087,0.7403563628597905,0.04753212839857078,0.07197172206953631
19.9525394439697,0.5542762510067973,0.641023350342568,0.058870553442688635,0.0680840994644937
22.3871212005615,0.5861177658539676,0.5494156777217913,0.06800445903369524,0.06374609016272417
25.1187877655029,0.6141155310434936,0.4589025369652644,0.07766267393346235,0.058034028279685165
28.1837863922119,0.633420159005325,0.36463785820017147,0.08706253446209662,0.05011885972430923
31.6226768493652,0.6443630694797418,0.27824128508656365,0.09609980628843348,0.041496688535940705
35.4812088012695,0.6430449733444137,0.19560266346964372,0.10386288668499008,0.031593213715005154
39.8105850219727,0.6363027505743482,0.11958303396147052,0.11108061825154546,0.020875844608318445
44.6681938171387,0.6197516952649815,0.044964796809061625,0.11665940923151874,0.008463981094424613
50.1186141967773,0.6002423948884905,-0.018196991015533293,0.12166639982050045,-0.0036884472061278263
56.234058380127,0.5683615244337155,-0.08328463841238021,0.12375946896729602,-0.01813504640962288
63.0956497192383,0.5349052758483737,-0.13686828405434648,0.12498818616727247,-0.031981211141819024
70.7943420410156,0.49529402690498125,-0.18558049769402096,0.12401235977802755,-0.046465885307822356
79.4325408935547,0.45505883055938146,-0.22733474950657895,0.12189521320648201,-0.06089546207966744
89.1248397827148,0.408835757483774,-0.2616583760349642,0.11712242573810298,-0.07495935263716265
99.9996719360352,0.36226017313103687,-0.2905808747955603,0.11083415576421694,-0.08890374467839687
112.201454162598,0.31380158947247416,-0.31009426236254445,0.10254717523310355,-0.1013356583525565
125.89225769043,0.26614965955698033,-0.32538839447853785,0.09277133230207436,-0.11342007696592293
141.253265380859,0.22059186296711442,-0.3325953180583996,0.08197561194237912,-0.12359796213821413
158.488906860352,0.1776328468099777,-0.339377263492322,0.07019614941702203,-0.1341135804817206
177.827682495117,0.1311103156570359,-0.3379309893467286,0.05517962875541328,-0.14222303137366704
199.525680541992,0.09085604240416156,-0.3323236789589612,0.04063148598524706,-0.14861757728915007
223.87174987793,0.0524470713078129,-0.3240114272787562,0.024887900402255938,-0.15375432660441443
251.187881469727,0.018122618475624686,-0.31358168378518303,0.00910338737426554,-0.15751893385663543
281.837860107422,-0.013940544174743996,-0.3000074185846313,-0.00740168796230335,-0.15928799269992244
316.226928710938,-0.04121943027465513,-0.2872717304939949,-0.023040452426300265,-0.1605764707509223
354.812805175781,-0.06668106249750294,-0.272757418629602,-0.039160773563362276,-0.16018628241085767
398.10693359375,-0.08981390302426218,-0.25642715380490755,-0.05528999879624653,-0.1578581550048914
446.682678222656,-0.11058031504138266,-0.2405236656321189,-0.07112756006633761,-0.15470982758750448
