surrogate_SSE,true_SSE
36803.81595821988,48630.327802404354
321.6150833390579,287.11802925518083
30284.046659164975,38955.810283483865
4644.341207201145,4875.6513590839195
7859.505470000643,6663.222292717009
3972.826470558196,3884.537262703312
23080.946366302644,30549.59660698444
13770.076721363517,11919.745716669513
47795.741181754835,34141.68035832309
12957.885840433848,14817.664492319782
52699.21264616643,38004.70079501292
1349.6283264182607,1309.1375168822867
24826.949166913204,18355.33322455496
5033.2719441958425,5082.578053303283
43605.48666329543,59598.467922369004
8652.66706265918,9556.776327047888
756.0920834687108,1044.08657409254
3061.07264246129,2788.405353060727
3352.3230258847716,2756.885703914196
42872.40902743044,30112.34844370336
1105.4229424390248,1165.722654528045
30505.15156715335,43810.091443121295
8154.679170403013,9390.70399939679
6621.904146599888,6007.584865104967
41679.7048900844,58283.516534831855
42907.292986286884,59992.5906744046
2348.2442799160917,2264.169990681451
18040.811751235324,21622.034921265193
1712.9105201240964,1707.4225223512128
1092.9158297134393,1200.9630773535807
44443.646281545065,33228.55037264408
38753.58752117404,56746.2590101959
2959.9629189478496,2882.625835034519
40392.935929475694,54479.15194676837
32541.838197074558,42851.92969580924
1877.726673836243,1721.455707415296
9550.960859651103,8210.315680745953
23326.107890955394,30727.926831286102
18175.33056651561,22506.876135675204
3803.9342265086584,3943.2075512592037
824.309732631858,845.7679175934599
2151.8743031817876,2646.4719375286118
36153.33818955818,27266.74601540997
943.8894051486716,906.191174898906
17313.660906595254,14273.914316679362
3433.3670562988664,3802.0667485355184
6266.938480543707,6854.74305865501
2901.6760835483537,2814.678281208291
12361.257344419379,15951.282430491658
44710.29094785492,60573.01277633473
34701.464844072376,49461.376466406306
38084.016293832516,28935.944566014583
42493.57272972288,31779.651041900262
17370.15695645073,24531.556366278233
30857.318043503714,39739.718307926756
5698.9583761729045,5315.940195459993
47972.35353009893,68571.4352527226
35807.31270163338,47359.080377594204
8179.6610874335,9130.08174521851
21631.53801877246,16249.271981896787
49598.457530553234,35687.36705701541
28111.181896100854,21506.78882208239
2425.9740503441435,2336.5288929267927
39881.198925546036,28325.717245594078
43792.889932567356,61220.44909309105
50915.36802568844,36503.78383072615
9212.292029138902,10487.169958261946
2675.3722248564536,3440.575121688992
18485.68476684761,15449.891965123883
